file_path,file_size,chunk_size,access_count,avg_read_size,avg_write_size,max_read_size,max_write_size,read_count,write_count,throughput_mbps,file_size_mb,chunk_size_kb,file_extension,dir_depth,read_write_ratio,avg_access_size,max_access_size,read_percentage,path_chunk_hint
/mnt/beegfs/testdir_256K/test_2000M.dat,2000000000,256000,42,156390,110592,261120,148480,40,2,378.65,1907.3486328125,250.0,.dat,5,20.0,154209.14285714287,261120,95.23809523809523,262144
/mnt/beegfs/testdir_64K/test_100M.dat,100000000,64000,52,40263,37888,68608,60416,50,2,349.59,95.367431640625,62.5,.dat,5,25.0,40171.653846153844,68608,96.15384615384616,65536
/mnt/beegfs/testdir_256K/test_750M.dat,750000000,256000,52,136601,237056,248832,252928,50,2,435.61,715.2557373046875,250.0,.dat,5,25.0,140464.65384615384,252928,96.15384615384616,262144
/mnt/beegfs/testdir_512K/test_750M.dat,750000000,512000,42,289971,360448,519168,459776,40,2,481.99,715.2557373046875,500.0,.dat,5,20.0,293327.04761904763,519168,95.23809523809523,524288
/mnt/beegfs/testdir_768K/test_750M.dat,750000000,768000,52,272424,296960,526336,462848,50,2,447.14,715.2557373046875,750.0,.dat,5,25.0,273367.6923076923,526336,96.15384615384616,786432
/mnt/beegfs/testdir_512K/test_350M.dat,350000000,512000,52,270458,228352,519168,345088,50,2,622.69,333.7860107421875,500.0,.dat,5,25.0,268838.53846153844,519168,96.15384615384616,524288
/mnt/beegfs/testdir_2048K/test_100M.dat,100000000,2048000,52,310231,39936,520192,52224,50,2,451.51,95.367431640625,2000.0,.dat,5,25.0,299835.03846153844,520192,96.15384615384616,2097152
/mnt/beegfs/testdir_768K/test_2000M.dat,2000000000,768000,42,248422,314880,509952,351232,40,2,495.41,1907.3486328125,750.0,.dat,5,20.0,251586.66666666666,509952,95.23809523809523,786432
/mnt/beegfs/testdir_512K/test_50M.dat,50000000,512000,42,249292,295936,522240,515072,40,2,885.79,47.6837158203125,500.0,.dat,5,20.0,251513.14285714287,522240,95.23809523809523,524288
/mnt/beegfs/testdir_2048K/test_200M.dat,200000000,2048000,52,255877,382976,522240,470016,50,2,666.88,190.73486328125,2000.0,.dat,5,25.0,260765.42307692306,522240,96.15384615384616,2097152
/mnt/beegfs/testdir_1024K/test_500M.dat,500000000,1024000,42,261299,229376,518144,254976,40,2,455.34,476.837158203125,1000.0,.dat,5,20.0,259778.85714285713,518144,95.23809523809523,1048576
/mnt/beegfs/testdir_8192K/test_350M.dat,350000000,8192000,42,253491,188928,515072,270336,40,2,998.18,333.7860107421875,8000.0,.dat,5,20.0,250416.57142857142,515072,95.23809523809523,8388608
/mnt/beegfs/testdir_768K/test_750M.dat,750000000,768000,42,211840,97280,513024,138240,40,2,814.21,715.2557373046875,750.0,.dat,5,20.0,206384.7619047619,513024,95.23809523809523,786432
/mnt/beegfs/testdir_512K/test_200M.dat,200000000,512000,42,243020,287744,512000,479232,40,2,661.73,190.73486328125,500.0,.dat,5,20.0,245149.7142857143,512000,95.23809523809523,524288
/mnt/beegfs/testdir_2048K/test_750M.dat,750000000,2048000,42,259840,295936,522240,517120,40,2,565.42,715.2557373046875,2000.0,.dat,5,20.0,261558.85714285713,522240,95.23809523809523,2097152
/mnt/beegfs/testdir_4096K/test_2000M.dat,2000000000,4096000,42,267417,70656,509952,120832,40,2,484.81,1907.3486328125,4000.0,.dat,5,20.0,258047.42857142858,509952,95.23809523809523,4194304
/mnt/beegfs/testdir_768K/test_2000M.dat,2000000000,768000,52,269004,153600,504832,168960,50,2,521.41,1907.3486328125,750.0,.dat,5,25.0,264565.3846153846,504832,96.15384615384616,786432
/mnt/beegfs/testdir_1024K/test_500M.dat,500000000,1024000,42,221568,162816,524288,211968,40,2,540.43,476.837158203125,1000.0,.dat,5,20.0,218770.2857142857,524288,95.23809523809523,1048576
/mnt/beegfs/testdir_256K/test_2000M.dat,2000000000,256000,42,129049,210944,252928,246784,40,2,451.54,1907.3486328125,250.0,.dat,5,20.0,132948.7619047619,252928,95.23809523809523,262144
/mnt/beegfs/testdir_768K/test_200M.dat,200000000,768000,42,301286,187904,517120,291840,40,2,481.81,190.73486328125,750.0,.dat,5,20.0,295886.85714285716,517120,95.23809523809523,786432
/mnt/beegfs/testdir_4096K/test_350M.dat,350000000,4096000,42,251571,227840,519168,316416,40,2,527.15,333.7860107421875,4000.0,.dat,5,20.0,250440.95238095237,519168,95.23809523809523,4194304
